X_type,subject,story,mean_cc
MaskLM,subj2,adollshouse,0.02745874074482047
MaskLM,subj2,adventuresinsayingyes,0.011048656811853168
MaskLM,subj2,afatherscover,0.028024346768487154
MaskLM,subj2,afearstrippedbare,-0.0033825340487332444
MaskLM,subj2,againstthewind,0.037636307395297885
MaskLM,subj2,alternateithicatom,0.006541261204610953
MaskLM,subj2,avatar,0.04369824433992502
MaskLM,subj2,backsideofthestorm,-0.005980431405827989
MaskLM,subj2,becomingindian,0.03203833023599455
MaskLM,subj2,beneaththemushroomcloud,0.027658813735157137
MaskLM,subj2,birthofanation,0.024831060650752013
MaskLM,subj2,bluehope,0.00284921504032786
MaskLM,subj2,breakingupintheageofgoogle,0.024439526574215237
MaskLM,subj2,buck,0.029881213891968152
MaskLM,subj2,canadageeseandddp,0.026855921706174134
MaskLM,subj2,canplanetearthfeedtenbillionpeoplepart1,0.010457363874541485
MaskLM,subj2,canplanetearthfeedtenbillionpeoplepart2,0.013112867114223615
MaskLM,subj2,canplanetearthfeedtenbillionpeoplepart3,0.042237431825454995
MaskLM,subj2,catfishingstrangerstofindmyself,0.01186528167768722
MaskLM,subj2,cautioneating,0.021956499664289583
MaskLM,subj2,christmas1940,0.04429963052508223
MaskLM,subj2,cocoonoflove,0.012896725073238252
MaskLM,subj2,comingofageondeathrow,0.03250256809974869
MaskLM,subj2,escapingfromadirediagnosis,0.035944382331979906
MaskLM,subj2,exorcism,0.055752013219703835
MaskLM,subj2,eyespy,0.02758533169394288
MaskLM,subj2,findingmyownrescuer,0.02651910316075354
MaskLM,subj2,firetestforlove,0.03626107584570269
MaskLM,subj2,food,0.025768985700450962
MaskLM,subj2,forgettingfear,0.014285587591626764
MaskLM,subj2,fromboyhoodtofatherhood,0.04489063457824891
MaskLM,subj2,gangstersandcookies,0.028477014983609508
MaskLM,subj2,goingthelibertyway,0.023478556322671904
MaskLM,subj2,goldiethegoldfish,0.01999957420756637
MaskLM,subj2,golfclubbing,0.055933357933857994
MaskLM,subj2,googlingstrangersandkentuckybluegrass,0.02379750528960854
MaskLM,subj2,gpsformylostidentity,0.02872924439068248
MaskLM,subj2,hangtime,0.04955810530409374
MaskLM,subj2,haveyoumethimyet,0.022382877269046447
MaskLM,subj2,howtodraw,0.020428423785712614
MaskLM,subj2,ifthishaircouldtalk,0.013845987754873217
MaskLM,subj2,igrewupinthewestborobaptistchurch,0.004294344916446425
MaskLM,subj2,inamoment,0.028969712777120415
MaskLM,subj2,indianapolis,0.0002668746036304604
MaskLM,subj2,itsabox,0.004373696256934344
MaskLM,subj2,jugglingandjesus,0.013177295247840656
MaskLM,subj2,kiksuya,0.034915711104704
MaskLM,subj2,lawsthatchokecreativity,0.028546760876852012
MaskLM,subj2,learninghumanityfromdogs,0.0066208884124767985
MaskLM,subj2,leavingbaghdad,0.04344663999396597
MaskLM,subj2,legacy,0.01594749829624077
MaskLM,subj2,life,0.001584690318403415
MaskLM,subj2,lifeanddeathontheoregontrail,0.025360041449666585
